project_id,task_id,task_type,planned_duration_days,actual_duration_days,delay_days,grace_period_days,penalty_per_day_inr,contractor_past_delay_rate,is_monsoon_period,material_supply_delay,preceding_task_delayed,task_sequence_index,delay_cause,violation,penalty_amount_inr,data_source
PROJ_0001,PROJ_0001_T01,guardrail_installation,25,29,4,5,10000,0.11,1,0,0,0,rain_monsoon,0,0,synthetic
PROJ_0001,PROJ_0001_T02,road_marking_and_signage_installation,15,17,2,0,10000,0.11,0,0,1,1,labour_dispute,1,20000,synthetic
PROJ_0001,PROJ_0001_T03,sub_base_course_preparation,45,36,0,0,10000,0.11,0,0,1,2,on_schedule,0,0,synthetic
PROJ_0002,PROJ_0002_T01,sub_base_course_preparation,45,39,0,0,10000,0.21,1,0,0,0,on_schedule,0,0,synthetic
PROJ_0002,PROJ_0002_T02,guardrail_installation,25,38,13,5,10000,0.21,1,0,0,1,rain_monsoon,1,80000,synthetic
PROJ_0002,PROJ_0002_T03,bituminous_macadam_laying,30,28,0,3,10000,0.21,1,0,1,2,on_schedule,0,0,synthetic
PROJ_0002,PROJ_0002_T04,site_clearance_and_excavation,20,19,0,0,10000,0.21,0,0,0,3,on_schedule,0,0,synthetic
PROJ_0002,PROJ_0002_T05,road_marking_and_signage_installation,15,15,0,0,10000,0.21,0,0,0,4,on_schedule,0,0,synthetic
PROJ_0002,PROJ_0002_T06,bridge_deck_construction,60,58,0,7,10000,0.21,1,0,0,5,on_schedule,0,0,synthetic
PROJ_0003,PROJ_0003_T01,bituminous_macadam_laying,30,30,0,3,10000,0.45,0,0,0,0,on_schedule,0,0,synthetic
PROJ_0003,PROJ_0003_T02,road_marking_and_signage_installation,15,15,0,0,10000,0.45,1,0,0,1,on_schedule,0,0,synthetic
PROJ_0003,PROJ_0003_T03,guardrail_installation,25,37,12,5,10000,0.45,1,0,0,2,labour_dispute,1,70000,synthetic
PROJ_0003,PROJ_0003_T04,bridge_deck_construction,60,58,0,7,10000,0.45,0,0,1,3,on_schedule,0,0,synthetic
PROJ_0004,PROJ_0004_T01,road_marking_and_signage_installation,15,13,0,0,10000,0.37,1,0,0,0,on_schedule,0,0,synthetic
PROJ_0004,PROJ_0004_T02,bridge_deck_construction,60,60,0,7,10000,0.37,0,0,0,1,on_schedule,0,0,synthetic
PROJ_0004,PROJ_0004_T03,site_clearance_and_excavation,20,22,2,0,10000,0.37,1,0,0,2,utility_shifting,1,20000,synthetic
PROJ_0004,PROJ_0004_T04,sub_base_course_preparation,45,59,14,0,10000,0.37,0,0,1,3,utility_shifting,1,140000,synthetic
PROJ_0005,PROJ_0005_T01,bridge_deck_construction,60,56,0,7,10000,0.3,1,0,0,0,on_schedule,0,0,synthetic
PROJ_0005,PROJ_0005_T02,site_clearance_and_excavation,20,19,0,0,10000,0.3,1,0,0,1,on_schedule,0,0,synthetic
PROJ_0005,PROJ_0005_T03,road_marking_and_signage_installation,15,13,0,0,10000,0.3,1,0,0,2,on_schedule,0,0,synthetic
PROJ_0005,PROJ_0005_T04,sub_base_course_preparation,45,49,4,0,10000,0.3,0,0,0,3,rain_monsoon,1,40000,synthetic
