project_id,task_id,task_type,planned_duration_days,actual_duration_days,violation,delay_cause,contractor_past_delay_rate,is_monsoon_period,grace_period_days,material_supply_delay,preceding_task_delayed,task_sequence_index,penalty_per_day_inr,delay_days,penalty_amount_inr
PROJ_REAL_1.0,PROJ_REAL_1.0_0,materials,60,64.0,0,Materials,0.22932552452136018,0,2,1,0,0,20000,4.0,0.0
PROJ_REAL_2.0,PROJ_REAL_2.0_0,materials,60,68.0,0,Materials,0.3992233655708688,0,3,1,1,0,10000,8.0,0.0
PROJ_REAL_3.0,PROJ_REAL_3.0_0,materials,60,64.0,0,Materials,0.12640999666157765,0,0,1,1,0,25000,4.0,0.0
PROJ_REAL_4.0,PROJ_REAL_4.0_0,materials,60,68.0,0,Materials,0.5317917978317862,0,0,1,0,0,5000,8.0,0.0
PROJ_REAL_5.0,PROJ_REAL_5.0_0,materials,60,64.0,0,Materials,0.16535755552457543,0,0,1,0,0,10000,4.0,0.0
PROJ_REAL_6.0,PROJ_REAL_6.0_0,materials,60,64.0,0,Materials,0.448366836056792,0,7,1,1,0,5000,4.0,0.0
PROJ_REAL_7.0,PROJ_REAL_7.0_0,materials,60,64.0,0,Materials,0.14174814483005227,0,1,1,0,0,25000,4.0,0.0
PROJ_REAL_8.0,PROJ_REAL_8.0_0,materials,60,64.0,0,Materials,0.13783363409833532,0,2,1,1,0,15000,4.0,0.0
PROJ_REAL_9.0,PROJ_REAL_9.0_0,materials,60,64.0,0,Materials,0.3689473433026801,0,2,1,0,0,5000,4.0,0.0
PROJ_REAL_10.0,PROJ_REAL_10.0_0,materials,60,64.0,0,Materials,0.21069378106816888,0,4,1,1,0,5000,4.0,0.0
PROJ_REAL_11.0,PROJ_REAL_11.0_0,materials,60,68.0,0,Materials,0.2776031434251044,0,2,1,1,0,5000,8.0,0.0
PROJ_REAL_12.0,PROJ_REAL_12.0_0,materials,60,68.0,0,Materials,0.31866367554604547,0,4,1,0,0,25000,8.0,0.0
PROJ_REAL_13.0,PROJ_REAL_13.0_0,materials,60,80.0,1,Materials,0.9920908815096119,0,7,1,1,0,25000,20.0,500000.0
PROJ_REAL_14.0,PROJ_REAL_14.0_0,materials,60,76.0,1,Materials,0.8079761497567007,0,6,1,0,0,15000,16.0,240000.0
PROJ_REAL_15.0,PROJ_REAL_15.0_0,materials,60,68.0,0,Materials,0.3153504859928289,0,5,1,0,0,15000,8.0,0.0
PROJ_REAL_16.0,PROJ_REAL_16.0_0,materials,60,72.0,1,Materials,0.5889318125834886,0,5,1,0,0,10000,12.0,120000.0
PROJ_REAL_17.0,PROJ_REAL_17.0_0,materials,60,80.0,1,Materials,1.0,0,0,1,0,0,25000,20.0,500000.0
PROJ_REAL_18.0,PROJ_REAL_18.0_0,materials,60,76.0,1,Materials,0.6791471719220642,0,5,1,0,0,5000,16.0,80000.0
PROJ_REAL_19.0,PROJ_REAL_19.0_0,materials,60,64.0,0,Materials,0.2728557580333496,0,7,1,0,0,20000,4.0,0.0
PROJ_REAL_20.0,PROJ_REAL_20.0_0,materials,60,72.0,1,Materials,0.6089663040924327,0,1,1,0,0,10000,12.0,120000.0
PROJ_REAL_21.0,PROJ_REAL_21.0_0,materials,60,76.0,1,Materials,0.718511364222288,0,0,1,0,0,15000,16.0,240000.0
PROJ_REAL_22.0,PROJ_REAL_22.0_0,materials,60,76.0,1,Materials,0.9091122076860455,0,6,1,0,0,5000,16.0,80000.0
PROJ_REAL_23.0,PROJ_REAL_23.0_0,materials,60,68.0,0,Materials,0.42649785897031184,0,1,1,1,0,15000,8.0,0.0
PROJ_REAL_24.0,PROJ_REAL_24.0_0,materials,60,72.0,1,Materials,0.6791731620622299,0,6,1,0,0,25000,12.0,300000.0
PROJ_REAL_25.0,PROJ_REAL_25.0_0,materials,60,68.0,0,Materials,0.38581233610670274,0,2,1,0,0,10000,8.0,0.0
PROJ_REAL_26.0,PROJ_REAL_26.0_0,materials,60,76.0,1,Materials,0.8253770012308257,0,1,1,0,0,10000,16.0,160000.0
PROJ_REAL_27.0,PROJ_REAL_27.0_0,materials,60,76.0,1,Materials,0.8916169070849309,0,1,1,0,0,20000,16.0,320000.0
PROJ_REAL_28.0,PROJ_REAL_28.0_0,materials,60,72.0,1,Materials,0.5118700855498354,0,6,1,1,0,5000,12.0,60000.0
PROJ_REAL_29.0,PROJ_REAL_29.0_0,materials,60,68.0,0,Materials,0.35682620848876984,0,3,1,0,0,10000,8.0,0.0
PROJ_REAL_30.0,PROJ_REAL_30.0_0,materials,60,64.0,0,Materials,0.28085627798930596,0,5,1,1,0,20000,4.0,0.0
PROJ_REAL_31.0,PROJ_REAL_31.0_0,materials,60,76.0,1,Materials,0.49724489420668233,0,3,1,0,0,25000,16.0,400000.0
PROJ_REAL_32.0,PROJ_REAL_32.0_0,materials,60,68.0,0,Materials,0.3853612412415313,0,5,1,0,0,20000,8.0,0.0
PROJ_REAL_33.0,PROJ_REAL_33.0_0,materials,60,76.0,1,Materials,0.8084901314694003,0,3,1,0,0,20000,16.0,320000.0
PROJ_REAL_34.0,PROJ_REAL_34.0_0,materials,60,64.0,0,Materials,0.2610888346077311,0,4,1,0,0,5000,4.0,0.0
PROJ_REAL_35.0,PROJ_REAL_35.0_0,materials,60,68.0,0,Materials,0.5176634400401419,0,6,1,0,0,25000,8.0,0.0
